"Case Number","Date",,"Address","Charge","Charge Description",,
20140422248,"4/22/2014 12:00:00AM",,"4199 BERNAU AV/SELLERS AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140425250,"4/25/2014 12:00:00AM",,"1000 COLISEUM BLVD/W LEE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140505294,"5/5/2014 11:19:00PM",,"499 S BOOKER ST/CUNNINGHAM ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140506021,"5/6/2014","1:40:00AM","1198 S HOLDEN RD/PATTERSON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140502196,"5/2/2014","4:28:00PM","2499 BRASSFIELD RD/BRASSFIELD OAKS DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140429098,"5/6/2014 10:25:00AM",,"1405 W FRIENDLY AV","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140426215,"4/26/2014","4:35:00PM","9 HILLRISE CT","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140502102,"5/2/2014 11:05:00AM",,"OLD BATTLEGROUND RD/COTSWORLD TER","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140506190,"5/6/2014","5:22:00PM","4698 LAWNDALE DR/COTTAGE PL","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140501292,"5/1/2014 12:00:00AM",,"4499 SELLERS AV/BERNAU AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140501249,"5/1/2014 12:00:00AM",,"4499 SELLERS AV/BERNAU AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140503197,"5/3/2014 12:00:00AM",,"100 S HOLDEN RD","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140503250,"5/3/2014 12:00:00AM",,"ADAMS FARM/HILLTOP","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140506243,"5/6/2014","8:32:00PM","2249 MCCONNELL RD/S ENGLISH ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140506267,"5/6/2014","9:22:00PM","999 CARR ST/S TATE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140507006,"5/7/2014 12:15:00AM",,"2399 E FLORIDA ST/ARDMORE DR","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140503238,"5/3/2014 12:00:00AM",,"800 16TH ST/N CHURCH ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140502151,"5/2/2014 12:00:00AM",,"4499 SELLERS AV/BERNAU AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140502335,"5/2/2014 12:00:00AM",,"3199 E BESSEMER AV/ELWELL AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140502313,"5/2/2014 12:00:00AM",,"4422 W WENDOVER AV/LANDMARK CENTER DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140406007,"4/6/2014 12:00:00AM",,"499 S BOOKER ST/CUNNINGHAM ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140507037,"5/7/2014","3:45:00AM","3699 PATTERSON ST/MERRITT DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140507257,"5/7/2014","4:45:00PM","503 GUILFORD COLLEGE RD/BRIDFORD PKWY","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140506260,"5/6/2014","9:11:00PM","2999 W FLORIDA ST/S HOLDEN RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140506074,"5/6/2014 12:00:00AM",,"199 S EUGENE ST/W SYCAMORE ST","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140428027,"4/28/2014 12:00:00AM",,"107 S HOLDEN RD/W MARKET ST","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140506307,"5/6/2014 11:15:00PM",,"100 E WASHINGTON ST/S ELM ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140507312,"5/7/2014 12:00:00AM",,"499 S TATE ST/SPRING GARDEN ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140508063,"5/8/2014","8:59:00AM","1298 E WENDOVER AV/E LINDSAY ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140508134,"5/8/2014 12:50:00PM",,"2099 W CONE BLVD/LAWNDALE DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140506054,"5/6/2014 12:00:00AM",,"2410 FREEMAN MILL RD/LOVETT ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140507305,"5/7/2014 12:00:00AM",,"1299 BATTLEGROUND AV/W BESSEMER AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140508278,"5/8/2014","6:52:00PM","3299 HIGH POINT RD/VEASLEY ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140509044,"5/9/2014","4:17:00AM","100 S DUDLEY ST/E MARKET ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140509032,"5/9/2014","1:59:00AM","3499 SPRING GARDEN ST/COAPMAN ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140508358,"5/8/2014 11:43:00PM",,"1099 BRANDT ST/PATTERSON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140507130,"5/7/2014 12:00:00AM",,"6300 RIDGE HAVEN RD/EAGLE ROCK RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140507172,"5/7/2014 12:00:00AM",,"SANDY RIDGE RD/I-40 E","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140509357,"5/9/2014 11:07:52PM",,"1202 SALEM ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140509359,"5/9/2014 11:28:58PM",,"435 E LINDSAY ST/CUMBERLAND ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140510275,"5/10/2014","9:40:00PM","2505 RANDLEMAN RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140510304,"5/10/2014 11:26:00PM",,"2899 GLEN HOLLOW RD/MORNING DEW RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140511033,"5/11/2014","2:41:00AM","1399 E WASHINGTON ST/MCCONNELL RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140511003,"5/11/2014 12:07:00AM",,"3049 GLADSTONE TER/DAYE DR","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140511079,"5/11/2014 10:50:00AM",,"593 S HOLDEN RD/W WENDOVER AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140511101,"5/11/2014","1:07:00PM","499 HIBLER RD/GUILFORD COLLEGE RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140511081,"5/11/2014 12:00:00AM",,"1599 BATTLEGROUND AV/MILL ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140512032,"5/12/2014","5:12:00AM","399 CREEK RIDGE RD/RANDLEMAN RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140512073,"5/12/2014 10:48:00AM",,"5399 W FRIENDLY AV/MUIRS CHAPEL RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140511210,"5/11/2014 12:00:00AM",,"1450 E LEE ST/BARON WALK ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140504138,"5/4/2014 12:00:00AM",,"100 E SMITH ST/N ELM ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140509202,"5/9/2014 12:00:00AM",,"1099 W FLORIDA ST/LEXINGTON AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140510030,"5/10/2014 12:00:00AM",,"3089 SUMMIT AV/E CONE BLVD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140514191,"5/14/2014 12:00:00AM",,"199 PASTOR ANDERSON WAY/E WASHINGTON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140514178,"5/14/2014 12:00:00AM",,"400 S BOOKER ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140508004,"5/8/2014 12:14:00AM",,"599 E MARKET ST/N MURROW BLVD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140514248,"5/14/2014","5:54:00PM","6399 W MARKET ST/STAGE COACH TR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140515196,"5/15/2014","3:23:00PM","S HOLDEN RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140513262,"5/13/2014 12:00:00AM",,"7041 RIDGE HAVEN RD","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140513329,"5/13/2014 12:00:00AM",,"1589 US 29 N/E WENDOVER AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140513238,"5/13/2014 12:00:00AM",,"4439 BURLINGTON RD/I-840 W","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140515240,"5/15/2014","5:26:00PM","5799 W FRIENDLY AV/COLLEGE RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140516310,"5/16/2014","9:49:00PM","499 CRESTWOOD DR/ROCKWOOD RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140517197,"5/17/2014","7:17:00PM","1999 W VANDALIA RD/PINECROFT RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140517230,"5/17/2014 10:28:00PM",,"1599 COLISEUM BLVD/ELLINGTON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140518083,"5/18/2014","2:22:00PM","3400 WHITEHURST RD/WESTRIDGE RD","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140519030,"5/19/2014","5:49:00AM","100 N WESTGATE DR/W MARKET ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140519215,"5/19/2014 12:00:00AM",,"499 W MARKET ST/S EDGEWORTH ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140519165,"5/19/2014 12:00:00AM",,"100 E LEWIS ST/S ELM ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140515305,"5/15/2014 12:00:00AM",,"3199 HIGH POINT RD/PINECROFT RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140515187,"5/15/2014 12:00:00AM",,"7012 RIDGE HAVEN RD","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140423088,"4/23/2014","9:37:00AM","5799 W FRIENDLY AV/COLLEGE RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140423086,"4/23/2014","9:35:00AM","5799 W FRIENDLY AV/COLLEGE RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140519004,"5/19/2014 12:00:00AM",,"1499 AVALON RD/S ENGLISH ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140516329,"5/16/2014 12:00:00AM",,"2699 N CHURCH ST/E CONE BLVD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140510219,"5/10/2014 12:00:00AM",,"4499 SELLERS AV/BERNAU AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
